textbox2
India

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,44,,AH1,,AH1N12009,97,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
AH5,2018,45,,AH1,,AH1N12009,39,AH3,3,ANOTSUBTYPED,,BYAMAGATA,1,BVICTORIA,,BNOTDETERMINED,
AH5,2018,46,,AH1,,AH1N12009,15,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,47,,AH1,,AH1N12009,41,AH3,7,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,48,,AH1,,AH1N12009,30,AH3,1,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,49,,AH1,,AH1N12009,32,AH3,4,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,,BNOTDETERMINED,
AH5,2018,50,,AH1,,AH1N12009,82,AH3,33,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,,BNOTDETERMINED,
AH5,2018,51,,AH1,,AH1N12009,71,AH3,15,ANOTSUBTYPED,,BYAMAGATA,1,BVICTORIA,1,BNOTDETERMINED,
AH5,2018,52,,AH1,,AH1N12009,71,AH3,18,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2019,1,,AH1,,AH1N12009,178,AH3,86,ANOTSUBTYPED,,BYAMAGATA,5,BVICTORIA,,BNOTDETERMINED,
AH5,2019,2,,AH1,,AH1N12009,316,AH3,182,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,1,BNOTDETERMINED,
AH5,2019,3,,AH1,,AH1N12009,307,AH3,187,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,,BNOTDETERMINED,1
AH5,2019,4,,AH1,,AH1N12009,365,AH3,236,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,,BNOTDETERMINED,
AH5,2019,5,,AH1,,AH1N12009,485,AH3,185,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,,BNOTDETERMINED,
AH5,2019,6,,AH1,,AH1N12009,534,AH3,205,ANOTSUBTYPED,,BYAMAGATA,6,BVICTORIA,,BNOTDETERMINED,2
AH5,2019,7,,AH1,,AH1N12009,590,AH3,278,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,,BNOTDETERMINED,1

