textbox2
Brazil

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,46,,AH1,,AH1N12009,2,AH3,2,ANOTSUBTYPED,,BYAMAGATA,8,BVICTORIA,9,BNOTDETERMINED,4
AH5,2018,47,,AH1,,AH1N12009,,AH3,7,ANOTSUBTYPED,,BYAMAGATA,10,BVICTORIA,8,BNOTDETERMINED,16
AH5,2018,48,,AH1,,AH1N12009,,AH3,1,ANOTSUBTYPED,,BYAMAGATA,9,BVICTORIA,17,BNOTDETERMINED,33
AH5,2018,49,,AH1,,AH1N12009,2,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,6,BNOTDETERMINED,28
AH5,2018,50,,AH1,,AH1N12009,1,AH3,1,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,12,BNOTDETERMINED,30
AH5,2018,51,,AH1,,AH1N12009,,AH3,,ANOTSUBTYPED,1,BYAMAGATA,,BVICTORIA,3,BNOTDETERMINED,26
AH5,2018,52,,AH1,,AH1N12009,,AH3,1,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,10
AH5,2019,1,,AH1,,AH1N12009,3,AH3,,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,7,BNOTDETERMINED,55
AH5,2019,2,,AH1,,AH1N12009,4,AH3,3,ANOTSUBTYPED,1,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,15
AH5,2019,3,,AH1,,AH1N12009,6,AH3,2,ANOTSUBTYPED,1,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,6
AH5,2019,4,,AH1,,AH1N12009,1,AH3,3,ANOTSUBTYPED,1,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,8
AH5,2019,5,,AH1,,AH1N12009,12,AH3,1,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,8
AH5,2019,6,,AH1,,AH1N12009,14,AH3,4,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,6
AH5,2019,7,,AH1,,AH1N12009,17,AH3,3,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,4
AH5,2019,8,,AH1,,AH1N12009,11,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
AH5,2019,9,,AH1,,AH1N12009,,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2019,10,,AH1,,AH1N12009,,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,

